kurum_id,kurum_adi,kurum_tipi,il_kodu,il_adi,ilce_adi,adres,telefon,koordinat_lat,koordinat_lon,web_sitesi,veri_kaynagi,son_guncelleme,kaynak_url
TR-01-OZEL-029,ÖZEL ACIBADEM ADANA HASTANESİ,Özel Genel Hastane,1,ADANA,SEYHAN,SEYHAN/ADANA,,,,,T.C. Sağlık Bakanlığı - Özel Hastaneler Daire Başkanlığı,2025-07-11,https://shgmozelhasdb.saglik.gov.tr/TR-53567/ozel-hastane-listesi-faal.html
TR-01-OZEL-021,ÖZEL ADANA  HASTANESİ,Özel Genel Hastane,1,ADANA,SEYHAN,SEYHAN/ADANA,,,,,T.C. Sağlık Bakanlığı - Özel Hastaneler Daire Başkanlığı,2025-07-11,https://shgmozelhasdb.saglik.gov.tr/TR-53567/ozel-hastane-listesi-faal.html
TR-01-OZEL-026,ÖZEL ADANA METRO HASTANESİ,Özel Genel Hastane,1,ADANA,SEYHAN,SEYHAN/ADANA,,,,,T.C. Sağlık Bakanlığı - Özel Hastaneler Daire Başkanlığı,2025-07-11,https://shgmozelhasdb.saglik.gov.tr/TR-53567/ozel-hastane-listesi-faal.html
TR-01-OZEL-022,ÖZEL ALGOMED HASTANESİ,Özel Genel Hastane,1,ADANA,YÜREĞİR,YÜREĞİR/ADANA,,,,,T.C. Sağlık Bakanlığı - Özel Hastaneler Daire Başkanlığı,2025-07-11,https://shgmozelhasdb.saglik.gov.tr/TR-53567/ozel-hastane-listesi-faal.html
TR-01-OZEL-024,ÖZEL ALTINKOZA HASTANESİ,Özel Genel Hastane,1,ADANA,YÜREĞİR,YÜREĞİR/ADANA,,,,,T.C. Sağlık Bakanlığı - Özel Hastaneler Daire Başkanlığı,2025-07-11,https://shgmozelhasdb.saglik.gov.tr/TR-53567/ozel-hastane-listesi-faal.html
TR-01-OZEL-030,ÖZEL AVRUPA HOSPİTAL HASTANESİ,Özel Genel Hastane,1,ADANA,ÇUKUROVA,ÇUKUROVA/ADANA,,,,,T.C. Sağlık Bakanlığı - Özel Hastaneler Daire Başkanlığı,2025-07-11,https://shgmozelhasdb.saglik.gov.tr/TR-53567/ozel-hastane-listesi-faal.html
TR-01-OZEL-027,ÖZEL CEYHAN ÇINAR HASTANESİ,Özel Genel Hastane,1,ADANA,CEYHAN,CEYHAN/ADANA,,,,,T.C. Sağlık Bakanlığı - Özel Hastaneler Daire Başkanlığı,2025-07-11,https://shgmozelhasdb.saglik.gov.tr/TR-53567/ozel-hastane-listesi-faal.html
TR-01-OZEL-027,ÖZEL ÇUKUROVA GÖZ HASTANESİ,Özel Göz Hastanesi,1,ADANA,SEYHAN,SEYHAN/ADANA,,,,,T.C. Sağlık Bakanlığı - Özel Hastaneler Daire Başkanlığı,2025-07-11,https://shgmozelhasdb.saglik.gov.tr/TR-53567/ozel-hastane-listesi-faal.html
TR-01-OZEL-018,ÖZEL EPC HASTANESİ,Özel Genel Hastane,1,ADANA,ÇUKUROVA,ÇUKUROVA/ADANA,,,,,T.C. Sağlık Bakanlığı - Özel Hastaneler Daire Başkanlığı,2025-07-11,https://shgmozelhasdb.saglik.gov.tr/TR-53567/ozel-hastane-listesi-faal.html
TR-01-OZEL-026,ÖZEL GÜNEY ADANA HASTANESİ,Özel Genel Hastane,1,ADANA,SEYHAN,SEYHAN/ADANA,,,,,T.C. Sağlık Bakanlığı - Özel Hastaneler Daire Başkanlığı,2025-07-11,https://shgmozelhasdb.saglik.gov.tr/TR-53567/ozel-hastane-listesi-faal.html
TR-01-OZEL-024,ÖZEL GÜZELYALI HASTANESİ,Özel Genel Hastane,1,ADANA,ÇUKUROVA,ÇUKUROVA/ADANA,,,,,T.C. Sağlık Bakanlığı - Özel Hastaneler Daire Başkanlığı,2025-07-11,https://shgmozelhasdb.saglik.gov.tr/TR-53567/ozel-hastane-listesi-faal.html
TR-01-OZEL-023,ÖZEL KALEPARK HASTANESİ,Özel Genel Hastane,1,ADANA,KOZAN,KOZAN/ADANA,,,,,T.C. Sağlık Bakanlığı - Özel Hastaneler Daire Başkanlığı,2025-07-11,https://shgmozelhasdb.saglik.gov.tr/TR-53567/ozel-hastane-listesi-faal.html
TR-01-OZEL-030,ÖZEL ORTADOĞU SAĞLIK HASTANESİ,Özel Genel Hastane,1,ADANA,SEYHAN,SEYHAN/ADANA,,,,,T.C. Sağlık Bakanlığı - Özel Hastaneler Daire Başkanlığı,2025-07-11,https://shgmozelhasdb.saglik.gov.tr/TR-53567/ozel-hastane-listesi-faal.html
TR-01-OZEL-024,ÖZEL ORTOPEDİA HASTANESİ,Özel Genel Hastane,1,ADANA,SEYHAN,SEYHAN/ADANA,,,,,T.C. Sağlık Bakanlığı - Özel Hastaneler Daire Başkanlığı,2025-07-11,https://shgmozelhasdb.saglik.gov.tr/TR-53567/ozel-hastane-listesi-faal.html
TR-01-OZEL-029,ÖZEL SEZAR HOSPİTAL HASTANESİ,Özel Genel Hastane,1,ADANA,ÇUKUROVA,ÇUKUROVA/ADANA,,,,,T.C. Sağlık Bakanlığı - Özel Hastaneler Daire Başkanlığı,2025-07-11,https://shgmozelhasdb.saglik.gov.tr/TR-53567/ozel-hastane-listesi-faal.html
TR-01-OZEL-027,ÖZELMEDLİNE ADANA HASTANESİ,Özel Genel Hastane,1,ADANA,ÇUKUROVA,ÇUKUROVA/ADANA,,,,,T.C. Sağlık Bakanlığı - Özel Hastaneler Daire Başkanlığı,2025-07-11,https://shgmozelhasdb.saglik.gov.tr/TR-53567/ozel-hastane-listesi-faal.html
TR-02-OZEL-037,ÖZEL ADIYAMAN PARK HOSPİTAL HASTANESİ,Özel Genel Hastane,2,ADIYAMAN,MERKEZ,MERKEZ/ADIYAMAN,,,,,T.C. Sağlık Bakanlığı - Özel Hastaneler Daire Başkanlığı,2025-07-11,https://shgmozelhasdb.saglik.gov.tr/TR-53567/ozel-hastane-listesi-faal.html
TR-02-OZEL-029,ÖZEL GÖZDE ADIYAMAN HASTANESİ,Özel Genel Hastane,2,ADIYAMAN,MERKEZ,MERKEZ/ADIYAMAN,,,,,T.C. Sağlık Bakanlığı - Özel Hastaneler Daire Başkanlığı,2025-07-11,https://shgmozelhasdb.saglik.gov.tr/TR-53567/ozel-hastane-listesi-faal.html
TR-03-OZEL-020,ÖZEL  FUAR HASTANESİ,Özel Genel Hastane,3,AFYONKARAHİSAR,MERKEZ,MERKEZ/AFYONKARAHİSAR,,,,,T.C. Sağlık Bakanlığı - Özel Hastaneler Daire Başkanlığı,2025-07-11,https://shgmozelhasdb.saglik.gov.tr/TR-53567/ozel-hastane-listesi-faal.html
TR-03-OZEL-045,ÖZEL DR FATİH ÖĞÜÇ FERTİLLİFE AFYON HASTANESİ,Özel Kadın Hastalıkları ve Doğum Hastanesi,3,AFYONKARAHİSAR,MERKEZ,MERKEZ/AFYONKARAHİSAR,,,,,T.C. Sağlık Bakanlığı - Özel Hastaneler Daire Başkanlığı,2025-07-11,https://shgmozelhasdb.saglik.gov.tr/TR-53567/ozel-hastane-listesi-faal.html
TR-03-OZEL-024,ÖZEL PARKHAYAT HASTANESİ,Özel Genel Hastane,3,AFYONKARAHİSAR,MERKEZ,MERKEZ/AFYONKARAHİSAR,,,,,T.C. Sağlık Bakanlığı - Özel Hastaneler Daire Başkanlığı,2025-07-11,https://shgmozelhasdb.saglik.gov.tr/TR-53567/ozel-hastane-listesi-faal.html
TR-04-OZEL-025,ÖZEL AĞRI YAŞAM HASTANESİ,Özel Genel Hastane,4,AĞRI,MERKEZ,MERKEZ/AĞRI,,,,,T.C. Sağlık Bakanlığı - Özel Hastaneler Daire Başkanlığı,2025-07-11,https://shgmozelhasdb.saglik.gov.tr/TR-53567/ozel-hastane-listesi-faal.html
TR-04-OZEL-021,ÖZEL MEDİZA HASTANESİ,Özel Genel Hastane,4,AĞRI,DOĞUBAYAZIT,DOĞUBAYAZIT/AĞRI,,,,,T.C. Sağlık Bakanlığı - Özel Hastaneler Daire Başkanlığı,2025-07-11,https://shgmozelhasdb.saglik.gov.tr/TR-53567/ozel-hastane-listesi-faal.html
TR-06-OZEL-025,ACIBADEM ANKARA HASTANESİ,Özel Genel Hastane,6,ANKARA,ÇANKAYA,ÇANKAYA/ANKARA,,,,,T.C. Sağlık Bakanlığı - Özel Hastaneler Daire Başkanlığı,2025-07-11,https://shgmozelhasdb.saglik.gov.tr/TR-53567/ozel-hastane-listesi-faal.html
TR-06-OZEL-042,ÖZEL A LİFE PARK HOSPİTAL ANKARA HASTANESİ,Özel Genel Hastane,6,ANKARA,ETİMESGUT,ETİMESGUT/ANKARA,,,,,T.C. Sağlık Bakanlığı - Özel Hastaneler Daire Başkanlığı,2025-07-11,https://shgmozelhasdb.saglik.gov.tr/TR-53567/ozel-hastane-listesi-faal.html
TR-06-OZEL-022,ÖZEL AKROPOL HASTANESİ,Özel Genel Hastane,6,ANKARA,ÇANKAYA,ÇANKAYA/ANKARA,,,,,T.C. Sağlık Bakanlığı - Özel Hastaneler Daire Başkanlığı,2025-07-11,https://shgmozelhasdb.saglik.gov.tr/TR-53567/ozel-hastane-listesi-faal.html
TR-06-OZEL-027,ÖZEL ANKARA GÜVEN HASTANESİ,Özel Genel Hastane,6,ANKARA,ÇANKAYA,ÇANKAYA/ANKARA,,,,,T.C. Sağlık Bakanlığı - Özel Hastaneler Daire Başkanlığı,2025-07-11,https://shgmozelhasdb.saglik.gov.tr/TR-53567/ozel-hastane-listesi-faal.html
TR-06-OZEL-033,ÖZEL ANKARA MEDİCALPARK HASTANESİ,Özel Genel Hastane,6,ANKARA,YENİMAHALLE,YENİMAHALLE/ANKARA,,,,,T.C. Sağlık Bakanlığı - Özel Hastaneler Daire Başkanlığı,2025-07-11,https://shgmozelhasdb.saglik.gov.tr/TR-53567/ozel-hastane-listesi-faal.html
TR-06-OZEL-026,ÖZEL ANKARA UMUT HASTANESİ,Özel Genel Hastane,6,ANKARA,ÇANKAYA,ÇANKAYA/ANKARA,,,,,T.C. Sağlık Bakanlığı - Özel Hastaneler Daire Başkanlığı,2025-07-11,https://shgmozelhasdb.saglik.gov.tr/TR-53567/ozel-hastane-listesi-faal.html
