kurum_id,kurum_adi,kurum_tipi,il_kodu,il_adi,ilce_adi,adres,telefon,koordinat_lat,koordinat_lon,web_sitesi,veri_kaynagi,son_guncelleme
,T.C. Sağlık Bakanlığı Adana Şehir Hastanesi,Devlet Hastanesi,1,Adana,Yüreği̇r,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Kozan Devlet Hastanesi,Devlet Hastanesi,1,Adana,Kozan,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Adana Yüreğir Devlet Hastanesi,Devlet Hastanesi,1,Adana,Yüreği̇r,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Adana Dr.Ekrem Tok Ruh Sağlığı ve Hastalıkları Hastanesi,Devlet Hastanesi,1,Adana,Çukurova,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Ceyhan Devlet Hastanesi,Devlet Hastanesi,1,Adana,Ceyhan,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Karaisalı Devlet Hastanesi,Devlet Hastanesi,1,Adana,Karai̇sali,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı İmamoğlu Devlet Hastanesi,Devlet Hastanesi,1,Adana,İmamoğlu,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Tufanbeyli Devlet Hastanesi,Devlet Hastanesi,1,Adana,Tufanbeyli̇,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Pozantı 80.Yıl Devlet Hastanesi,Devlet Hastanesi,1,Adana,Pozanti,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Seyhan Devlet Hastanesi,Devlet Hastanesi,1,Adana,Seyhan,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Adana Fatma Kemal Timuçin Ağız ve Diş Sağlığı Hastanesi,Ağız ve Diş Sağlığı Merkezi,1,Adana,Seyhan,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Adana Çukurova Devlet Hastanesi,Devlet Hastanesi,1,Adana,Çukurova,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Yüreğir Karşıyaka Ağız ve Diş Sağlığı Hastanesi,Ağız ve Diş Sağlığı Merkezi,1,Adana,Yüreği̇r,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Feke İlçe Devlet Hastanesi,Devlet Hastanesi,1,Adana,Feke,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Saimbeyli Şehit Uzman Çavuş Adem Ambarcı İlçe Devlet Hastanesi,Devlet Hastanesi,1,Adana,Sai̇mbeyli̇,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Aladağ İlçe Devlet Hastanesi,Devlet Hastanesi,1,Adana,Aladağ,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Adıyaman Eğitim ve Araştırma Hastanesi,Eğitim ve Araştırma Hastanesi,2,Adiyaman,Merkez,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Kahta Devlet Hastanesi,Devlet Hastanesi,2,Adiyaman,Kahta,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Besni Devlet Hastanesi,Devlet Hastanesi,2,Adiyaman,Besni̇,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Gölbaşı Devlet Hastanesi,Devlet Hastanesi,2,Adiyaman,Gölbaşi,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Çelikhan Devlet Hastanesi,Devlet Hastanesi,2,Adiyaman,Çeli̇khan,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Sincik İlçe Devlet Hastanesi,Devlet Hastanesi,2,Adiyaman,Si̇nci̇k,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Kahta Göçeri İlçe Devlet Hastanesi,Devlet Hastanesi,2,Adiyaman,Kahta,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Gerger İlçe Devlet Hastanesi,Devlet Hastanesi,2,Adiyaman,Gerger,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Tut İlçe Devlet Hastanesi,Devlet Hastanesi,2,Adiyaman,Tut,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Samsat İlçe Devlet Hastanesi,Devlet Hastanesi,2,Adiyaman,Samsat,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Şuhut Devlet Hastanesi,Devlet Hastanesi,3,Afyonkarahi̇sar,Şuhut,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Sandıklı Devlet Hastanesi,Devlet Hastanesi,3,Afyonkarahi̇sar,Sandikli,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Emirdağ Devlet Hastanesi,Devlet Hastanesi,3,Afyonkarahi̇sar,Emi̇rdağ,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Dinar Devlet Hastanesi,Devlet Hastanesi,3,Afyonkarahi̇sar,Di̇nar,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Bolvadin Dr.Halil İbrahim Özsoy Devlet Hastanesi,Devlet Hastanesi,3,Afyonkarahi̇sar,Bolvadi̇n,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
